Date;Obs;Sim;lb:0.05;ub:95
2017-01-02;3.870000;3.826665;3.797280;3.850542
2017-01-09;3.890000;3.823917;3.794493;3.849766
2017-01-16;4.030000;3.865362;3.829417;3.892167
2017-01-23;4.070000;3.988591;3.959337;4.022242
2017-01-30;4.060000;4.008906;3.976729;4.051133
2017-02-06;4.140000;4.038262;4.013049;4.066625
2017-02-13;4.080000;4.040197;4.015329;4.079098
2017-02-20;4.070000;4.019167;3.977206;4.062603
2017-02-27;4.220000;4.054150;4.022453;4.085129
2017-03-06;4.280000;4.144058;4.111923;4.182714
2017-03-13;4.220000;4.157442;4.128506;4.189178
2017-03-20;4.230000;4.114159;4.072186;4.158998
2017-03-27;4.260000;4.209197;4.172088;4.245167
2017-04-03;4.190000;4.149605;4.111571;4.186829
2017-04-10;4.120000;4.108550;4.056100;4.165660
2017-04-17;4.070000;4.001576;3.962926;4.041063
2017-04-24;4.040000;4.007112;3.966635;4.055655
2017-05-01;4.040000;3.990764;3.954111;4.040153
2017-05-08;3.990000;3.964318;3.928753;3.994918
2017-05-15;3.940000;3.942149;3.904113;3.978580
2017-05-22;3.930000;4.000788;3.974999;4.031843
2017-05-29;3.890000;3.956123;3.925567;4.007172
2017-06-05;3.815000;3.859053;3.806890;3.899363
2017-06-12;3.785714;3.762003;3.737344;3.797818
2017-06-19;3.737143;3.742759;3.699895;3.773298
2017-06-26;3.692857;3.663322;3.615382;3.712392
2017-07-03;3.670000;3.641138;3.587963;3.685316
2017-07-10;3.661429;3.717318;3.672865;3.767618
2017-07-17;3.642857;3.671262;3.619312;3.703192
2017-07-24;3.630000;3.720033;3.685581;3.770228
2017-07-31;3.668571;3.884863;3.843794;3.945059
2017-08-07;3.684286;3.885956;3.827048;3.926788
2017-08-14;3.648571;3.818525;3.771304;3.876275
2017-08-21;3.610000;3.774173;3.740710;3.850498
2017-08-28;3.670000;3.909914;3.861861;3.961008
2017-09-04;3.678571;3.876927;3.781722;3.924771
2017-09-11;3.690000;3.851334;3.803010;3.897408
2017-09-18;3.818571;4.034803;3.977750;4.100698
2017-09-25;3.905714;4.084215;4.027169;4.122047
2017-10-02;3.912857;4.067687;4.009250;4.117929
2017-10-09;3.995714;4.107674;4.042117;4.177707
2017-10-16;4.090000;4.155033;4.101186;4.216560
2017-10-23;4.081429;4.133478;4.062593;4.189037
2017-10-30;4.110000;4.146231;4.094693;4.212888
2017-11-06;4.164286;4.150677;4.103542;4.208248
2017-11-13;4.152857;4.129424;4.087959;4.174072
2017-11-20;4.198571;4.176499;4.100197;4.268758
2017-11-27;4.291429;4.222683;4.177192;4.271756
2017-12-04;4.308571;4.253703;4.190546;4.297482
2017-12-11;4.328571;4.233189;4.169228;4.276676
2017-12-18;4.397143;4.326080;4.272480;4.388662
2017-12-25;4.365714;4.317456;4.276970;4.348511
2018-01-01;4.394286;4.290672;4.261498;4.318422
2018-01-08;4.420000;4.314313;4.278754;4.370422
2018-01-15;4.405714;4.366193;4.306961;4.410450
2018-01-22;4.431429;4.354233;4.286981;4.401918
2018-01-29;4.434286;4.402243;4.339126;4.459565
2018-02-05;4.462857;4.409331;4.345123;4.458832
2018-02-12;4.394286;4.339853;4.289703;4.374539
