Date;Obs;Sim;lb:0.05;ub:95
2017-01-02;34.502857;34.703893;34.677302;34.743982
2017-01-09;34.548571;34.684214;34.661563;34.712114
2017-01-16;34.681429;34.762631;34.736688;34.789097
2017-01-23;34.834286;34.914634;34.880688;34.946375
2017-01-30;34.772857;34.906034;34.873308;34.935419
2017-02-06;34.957143;34.925595;34.883412;34.962072
2017-02-13;34.917143;34.961258;34.926349;34.992186
2017-02-20;34.838571;34.940834;34.912838;34.975714
2017-02-27;35.090000;34.978863;34.941550;35.016964
2017-03-06;35.270000;35.140009;35.100601;35.189258
2017-03-13;35.198571;35.156694;35.120404;35.189706
2017-03-20;35.101429;35.110255;35.059071;35.140992
2017-03-27;35.200000;35.146218;35.111333;35.190803
2017-04-03;35.000000;35.021331;34.986749;35.051061
2017-04-10;34.868571;34.933816;34.904416;34.968049
2017-04-17;34.801429;34.790164;34.764576;34.818857
2017-04-24;34.748571;34.737524;34.712612;34.769627
2017-05-01;34.717143;34.715015;34.679132;34.748459
2017-05-08;34.682857;34.635433;34.609509;34.657033
2017-05-15;34.635714;34.571423;34.543148;34.597360
2017-05-22;34.577143;34.490583;34.469002;34.516299
2017-05-29;34.498571;34.459901;34.429718;34.486073
2017-06-05;34.431429;34.363779;34.332602;34.403174
2017-06-12;34.325714;34.265964;34.227529;34.294462
2017-06-19;34.255714;34.282382;34.248146;34.301827
2017-06-26;34.167143;34.178940;34.146273;34.202909
2017-07-03;34.222857;34.163074;34.134583;34.200650
2017-07-10;34.358571;34.338434;34.321996;34.361954
2017-07-17;34.352857;34.319231;34.292359;34.347333
2017-07-24;34.365714;34.349052;34.323046;34.379388
2017-07-31;34.501429;34.578173;34.549196;34.600076
2017-08-07;34.475714;34.569434;34.536954;34.593714
2017-08-14;34.398571;34.489284;34.462185;34.515122
2017-08-21;34.514286;34.515462;34.483197;34.564518
2017-08-28;34.492857;34.523442;34.493193;34.564522
2017-09-04;34.401429;34.523719;34.491136;34.562505
2017-09-11;34.362857;34.462062;34.433106;34.498384
2017-09-18;34.417143;34.535503;34.506869;34.560732
2017-09-25;34.382857;34.595914;34.569731;34.633326
2017-10-02;34.375714;34.557929;34.537672;34.576348
2017-10-09;34.571429;34.681599;34.643956;34.716973
2017-10-16;34.682857;34.776326;34.742204;34.799237
2017-10-23;34.642857;34.763749;34.738015;34.794794
2017-10-30;34.752857;34.782136;34.746085;34.808645
2017-11-06;34.755714;34.794138;34.758793;34.824070
2017-11-13;34.734286;34.801362;34.760426;34.837280
2017-11-20;34.762857;34.804060;34.765400;34.835483
2017-11-27;34.995714;34.873087;34.842896;34.912234
2017-12-04;35.047143;34.979621;34.938630;35.014220
2017-12-11;35.108571;34.995079;34.957327;35.026803
2017-12-18;35.290000;35.075970;35.044875;35.105134
2017-12-25;35.295714;35.133728;35.107799;35.166634
2018-01-01;35.234286;35.173112;35.137272;35.211702
2018-01-08;35.458571;35.260327;35.206903;35.313371
2018-01-15;35.311429;35.318651;35.275880;35.364370
2018-01-22;35.392857;35.277746;35.239508;35.317712
2018-01-29;35.408571;35.320418;35.282720;35.353123
2018-02-05;35.505714;35.295373;35.271317;35.330277
2018-02-12;35.341429;35.260019;35.227903;35.297358
2018-02-19;35.248571;35.209210;35.188941;35.241322
2018-02-26;35.140000;35.186234;35.162836;35.214700
2018-03-05;34.972857;35.095465;35.063686;35.134731
2018-03-12;34.975714;35.076138;35.053411;35.117148
2018-03-19;35.095714;35.102189;35.083089;35.132245
2018-03-26;34.991429;35.063091;35.026349;35.097286
2018-04-02;35.024286;35.012878;34.983509;35.032162
2018-04-09;34.977143;35.074939;35.048536;35.099579
2018-04-16;34.948571;34.994221;34.969028;35.020165
2018-04-23;35.067143;35.018327;34.988604;35.059800
2018-04-30;34.920000;34.881337;34.853462;34.910188
2018-05-07;34.797143;34.803214;34.781009;34.830310
2018-05-14;34.694286;34.671259;34.640685;34.714966
2018-05-21;34.624286;34.587302;34.566847;34.618227
2018-05-28;34.498571;34.524922;34.506268;34.556436
2018-06-04;34.434286;34.393398;34.360103;34.456817
2018-06-11;34.331429;34.312000;34.277498;34.342798
2018-06-18;34.225714;34.220839;34.186277;34.257747
2018-06-25;34.160000;34.151724;34.109985;34.190959
2018-07-02;34.122857;34.149949;34.117361;34.193920
2018-07-09;34.018571;34.049448;34.001840;34.094390
2018-07-16;34.020000;33.978210;33.935542;34.020237
2018-07-23;33.931429;33.984937;33.935671;34.034659
2018-07-30;33.860000;33.904556;33.846988;33.951928
2018-08-06;33.718571;33.857676;33.815424;33.921775
2018-08-13;33.702857;33.774086;33.709295;33.840199
2018-08-20;33.685714;33.814576;33.756326;33.858098
2018-08-27;33.667143;33.783797;33.712258;33.839568
2018-09-03;33.638571;33.738731;33.665313;33.790897
2018-09-10;33.660000;33.737138;33.669790;33.815904
2018-09-17;33.685714;33.702775;33.633793;33.796231
2018-09-24;33.674286;33.679376;33.602945;33.761676
2018-10-01;33.744286;33.799998;33.714338;33.868124
2018-10-08;33.775714;33.816000;33.739917;33.902039
2018-10-15;33.784286;33.852630;33.788214;33.913645
2018-10-22;33.770000;33.829607;33.760004;33.905586
2018-10-29;33.787143;33.808771;33.738212;33.881526
2018-11-05;33.795714;33.881015;33.805705;33.949036
2018-11-12;33.804286;33.926724;33.848017;33.999387
2018-11-19;33.812857;34.004828;33.911054;34.077786
2018-11-26;33.835714;34.016198;33.905063;34.092816
2018-12-03;33.838571;34.074608;33.983970;34.146864
2018-12-10;33.861429;34.178839;34.086939;34.263839
2018-12-17;33.967143;34.401292;34.320615;34.464797
2018-12-24;34.080000;34.463533;34.395381;34.529798
2018-12-31;34.280000;34.669909;34.593073;34.720835
2019-01-07;34.375714;34.708940;34.625798;34.768028
2019-01-14;34.578571;34.824558;34.764887;34.871164
2019-01-21;34.771429;34.952204;34.896756;35.006162
2019-01-28;34.662857;34.966797;34.893010;35.007969
2019-02-04;34.832857;35.023872;34.958320;35.072437
2019-02-11;34.871429;34.979467;34.918837;35.038724
2019-02-18;34.911429;35.053314;35.001350;35.091715
2019-02-25;34.804286;34.945102;34.885788;34.997449
2019-03-04;34.754286;34.919641;34.872779;34.976299
2019-03-11;34.762857;34.888616;34.841166;34.924856
2019-03-18;35.107143;35.035304;35.010861;35.070142
2019-03-25;35.108571;35.110038;35.080562;35.137881
2019-04-01;35.024286;35.050299;35.026184;35.081446
2019-04-08;34.941429;34.928699;34.904162;34.958097
2019-04-15;34.810000;34.901634;34.867972;34.927584
2019-04-22;34.705714;34.791242;34.754687;34.818826
2019-04-29;34.624286;34.736208;34.713179;34.763745
2019-05-06;34.575714;34.649217;34.621630;34.689496
2019-05-13;34.541429;34.599588;34.569428;34.623126
2019-05-20;34.501429;34.588900;34.564403;34.620850
2019-05-27;34.437143;34.528681;34.498682;34.563133
2019-06-03;34.364286;34.425106;34.403525;34.453347
2019-06-10;34.308571;34.376626;34.341871;34.410605
2019-06-17;34.241429;34.314033;34.290572;34.339345
2019-06-24;34.141429;34.299589;34.269148;34.329832
2019-07-01;34.025714;34.240634;34.198552;34.276808
2019-07-08;33.918571;34.130108;34.078933;34.174548
2019-07-15;33.792857;34.015149;33.962308;34.081300
2019-07-22;33.685714;33.982182;33.935225;34.020649
2019-07-29;33.535714;33.941830;33.890861;33.974296
2019-08-05;33.461429;33.901551;33.847431;33.940249
2019-08-12;33.554286;33.862358;33.834077;33.910084
2019-08-19;33.600000;33.850663;33.800928;33.900741
2019-08-26;33.658571;34.014922;33.975880;34.044328
2019-09-02;33.615714;33.960245;33.902652;34.009332
2019-09-09;33.632857;34.063706;34.026174;34.124880
2019-09-16;33.641429;34.020293;33.957841;34.087168
2019-09-23;33.647143;34.057359;34.020537;34.091195
2019-09-30;33.651429;34.023188;33.975415;34.056731
2019-10-07;33.798571;34.356802;34.333148;34.391450
2019-10-14;34.017143;34.514028;34.450996;34.570761
2019-10-21;34.255714;34.586087;34.539608;34.625585
2019-10-28;34.520000;34.744215;34.697773;34.781515
2019-11-04;34.515714;34.711254;34.664861;34.752761
2019-11-11;34.592857;34.750353;34.711780;34.791763
2019-11-18;34.578571;34.766128;34.737202;34.788304
2019-11-25;34.801429;34.949578;34.894974;34.998128
2019-12-02;34.825714;34.947950;34.898760;34.986185
2019-12-09;34.845714;34.980135;34.951857;35.018691
2019-12-16;34.931429;34.976094;34.955428;34.994311
2019-12-23;35.012857;35.061399;35.034829;35.095682
