Date;Obs;Sim;lb:0.05;ub:95
2017-01-02;34.178571;34.548940;34.481163;34.599019
2017-01-09;34.221429;34.516000;34.459171;34.580664
2017-01-16;34.328571;34.623923;34.582789;34.678686
2017-01-23;34.465714;34.779973;34.730834;34.824640
2017-01-30;34.514286;34.779225;34.728338;34.848962
2017-02-06;34.665714;34.803242;34.762627;34.868316
2017-02-13;34.700000;34.864822;34.823055;34.917379
2017-02-20;34.705714;34.830691;34.789518;34.878600
2017-02-27;34.874286;34.883782;34.848599;34.938979
2017-03-06;35.135714;35.145641;35.083811;35.211657
2017-03-13;35.175714;35.230527;35.166446;35.319988
2017-03-20;35.177143;35.236929;35.182528;35.291853
2017-03-27;35.272857;35.319699;35.220993;35.381458
2017-04-03;35.198571;35.180568;35.125911;35.234861
2017-04-10;35.077143;35.127629;35.063000;35.209588
2017-04-17;35.030000;35.014017;34.963302;35.086438
2017-04-24;34.934286;34.974337;34.923152;35.016411
2017-05-01;34.922857;34.917315;34.851752;34.956608
2017-05-08;34.860000;34.831712;34.797252;34.878464
2017-05-15;34.820000;34.779601;34.736923;34.822486
2017-05-22;34.765714;34.719141;34.679514;34.778598
2017-05-29;34.732857;34.674829;34.637903;34.726201
2017-06-05;34.658571;34.578799;34.534047;34.626191
2017-06-12;34.574286;34.486079;34.440703;34.526006
2017-06-19;34.500000;34.483187;34.427138;34.547086
2017-06-26;34.441429;34.335308;34.262973;34.416666
2017-07-03;34.434286;34.241025;34.173996;34.304651
2017-07-10;34.452857;34.362009;34.324010;34.410463
2017-07-17;34.424286;34.339408;34.292688;34.388910
2017-07-24;34.418571;34.346586;34.287803;34.423537
2017-07-31;34.490000;34.614868;34.557182;34.660414
2017-08-07;34.461429;34.554424;34.497829;34.608960
2017-08-14;34.417143;34.509254;34.441793;34.574620
2017-08-21;34.420000;34.477405;34.427185;34.517631
2017-08-28;34.432857;34.504255;34.450051;34.575051
2017-09-04;34.405714;34.497647;34.436266;34.553466
2017-09-11;34.378571;34.438902;34.392672;34.495539
2017-09-18;34.361429;34.471473;34.425385;34.529291
2017-09-25;34.324286;34.521283;34.485462;34.552358
2017-10-02;34.308571;34.447743;34.399986;34.492485
2017-10-09;34.364286;34.545670;34.500161;34.591764
2017-10-16;34.454286;34.609730;34.555756;34.660222
2017-10-23;34.482857;34.633677;34.580386;34.715232
2017-10-30;34.534286;34.618926;34.574325;34.672439
2017-11-06;34.568571;34.680709;34.608426;34.724724
2017-11-13;34.575714;34.723883;34.680445;34.789756
2017-11-20;34.590000;34.729344;34.676291;34.775946
2017-11-27;34.768571;34.814340;34.763906;34.874690
2017-12-04;34.912857;34.997145;34.957505;35.059351
2017-12-11;35.065714;35.025438;34.969011;35.090206
2017-12-18;35.247143;35.158457;35.104902;35.225102
2017-12-25;35.368571;35.254916;35.181189;35.326477
2018-01-01;35.441429;35.328606;35.267533;35.399262
2018-01-08;35.604286;35.440047;35.330762;35.513765
2018-01-15;35.615714;35.538992;35.459152;35.610740
2018-01-22;35.727143;35.479549;35.437550;35.527831
2018-01-29;35.781429;35.607298;35.574757;35.667581
2018-02-05;35.882857;35.596611;35.527548;35.644867
2018-02-12;35.797143;35.596085;35.535128;35.656965
2018-02-19;35.677143;35.525318;35.472399;35.574067
2018-02-26;35.588571;35.508261;35.450238;35.566018
2018-03-05;35.481429;35.381524;35.341486;35.422299
2018-03-12;35.434286;35.370717;35.322549;35.399098
2018-03-19;35.482857;35.408123;35.356983;35.448025
2018-03-26;35.418571;35.387625;35.333942;35.451702
2018-04-02;35.430000;35.325977;35.289127;35.370720
2018-04-09;35.380000;35.449586;35.408336;35.516828
2018-04-16;35.328571;35.372885;35.313161;35.424657
2018-04-23;35.408571;35.412499;35.352271;35.460718
2018-04-30;35.327143;35.273211;35.243023;35.314502
2018-05-07;35.208571;35.197535;35.148786;35.247630
2018-05-14;35.130000;35.076629;35.031271;35.122128
2018-05-21;35.032857;35.000557;34.967048;35.047680
2018-05-28;34.947143;34.918275;34.880799;34.955286
2018-06-04;34.865714;34.819559;34.786733;34.865809
2018-06-11;34.784286;34.766389;34.734113;34.805120
2018-06-18;34.662857;34.674730;34.618505;34.728651
2018-06-25;34.580000;34.603151;34.542937;34.648124
2018-07-02;34.532857;34.532566;34.480672;34.588385
2018-07-09;34.422857;34.368368;34.299257;34.436330
2018-07-16;34.361429;34.274930;34.192914;34.338656
2018-07-23;34.275714;34.216311;34.147469;34.269089
2018-07-30;34.200000;34.051017;33.970326;34.117879
2018-08-06;34.137143;34.022554;33.944777;34.107830
2018-08-13;34.081429;33.937154;33.857697;34.006362
