Date;Obs;Sim;lb:0.05;ub:95
2017-01-02;345.060000;345.267091;345.159369;345.455952
2017-01-09;345.030000;345.220505;345.104401;345.352939
2017-01-16;345.040000;345.224997;345.072882;345.407515
2017-01-23;345.010000;345.405627;345.303804;345.598846
2017-01-30;345.000000;345.406885;345.269141;345.534961
2017-02-06;345.070000;345.496921;345.401813;345.680556
2017-02-13;345.140000;345.643956;345.543893;345.803131
2017-02-20;345.150000;345.580992;345.474994;345.766307
2017-02-27;345.340000;345.645454;345.490408;345.804446
2017-03-06;345.620000;345.921947;345.842931;346.015894
2017-03-13;346.120000;346.198459;346.116753;346.293176
2017-03-20;346.090000;346.238753;346.144244;346.323332
2017-03-27;346.130000;346.337434;346.206662;346.429280
2017-04-03;345.990000;346.302821;346.228687;346.387952
2017-04-10;345.810000;346.125562;345.981128;346.267108
2017-04-17;345.690000;345.898697;345.774341;346.040346
2017-04-24;345.570000;345.838914;345.678151;345.991602
2017-05-01;345.530000;345.690326;345.570157;345.835147
2017-05-08;345.530000;345.740215;345.633801;345.846571
2017-05-15;345.620000;346.069923;345.996271;346.191409
2017-05-22;345.610000;346.064844;345.958824;346.151231
2017-05-29;345.610000;346.085628;345.991750;346.181029
2017-06-05;345.560000;345.960017;345.914223;346.021002
2017-06-12;345.500000;345.843507;345.790791;345.902914
2017-06-19;345.420000;345.733838;345.652097;345.821626
2017-06-26;345.380000;345.631735;345.572986;345.687700
2017-07-03;345.340000;345.560715;345.497539;345.650400
2017-07-10;345.310000;345.550441;345.474467;345.608295
2017-07-17;345.250000;345.562483;345.454276;345.639308
2017-07-24;345.270000;345.486665;345.441727;345.525253
2017-07-31;345.420000;345.532120;345.426738;345.598416
2017-08-07;345.390000;345.615746;345.546072;345.682971
2017-08-14;345.360000;345.532988;345.472733;345.630182
2017-08-21;345.370000;345.534966;345.465408;345.618697
2017-08-28;345.320000;345.488570;345.425641;345.571652
2017-09-04;345.270000;345.443971;345.375327;345.524318
2017-09-11;345.260000;345.410616;345.324641;345.509915
2017-09-18;345.320000;345.378954;345.246036;345.455740
2017-09-25;345.280000;345.521500;345.470326;345.588873
2017-10-02;345.250000;345.471184;345.403391;345.546472
2017-10-09;345.250000;345.518665;345.465137;345.598984
2017-10-16;345.220000;345.474597;345.400241;345.543112
2017-10-23;345.230000;345.465504;345.394914;345.531483
2017-10-30;345.200000;345.378198;345.284093;345.450439
2017-11-06;345.200000;345.375591;345.301674;345.460281
2017-11-13;345.230000;345.307767;345.226295;345.393120
2017-11-20;345.430000;345.510977;345.435783;345.579305
2017-11-27;345.520000;345.455267;345.334547;345.602551
2017-12-04;346.100000;345.909856;345.804175;345.980547
2017-12-11;346.100000;345.986523;345.912767;346.093610
2017-12-18;346.720000;346.308150;346.131444;346.436984
2017-12-25;346.730000;346.564328;346.366084;346.750645
2018-01-01;346.790000;346.475267;346.363928;346.568077
2018-01-08;347.650000;346.778178;346.653513;346.903262
2018-01-15;347.150000;347.003081;346.843143;347.116786
2018-01-22;347.140000;346.861137;346.726656;346.962320
2018-01-29;347.110000;347.078499;346.995534;347.184612
2018-02-05;347.040000;346.965723;346.832526;347.069087
2018-02-12;346.920000;346.994398;346.885333;347.127010
2018-02-19;346.670000;346.817554;346.738681;346.900746
2018-02-26;346.480000;346.746519;346.605174;346.863646
2018-03-05;346.400000;346.550014;346.480846;346.636688
2018-03-12;346.220000;346.452231;346.371681;346.540117
2018-03-19;346.150000;346.509352;346.437630;346.579172
2018-03-26;346.140000;346.575882;346.466269;346.642075
2018-04-02;346.160000;346.441151;346.371414;346.558015
2018-04-09;346.140000;346.534842;346.440965;346.640068
2018-04-16;346.140000;346.463019;346.359233;346.585779
2018-04-23;346.180000;346.523427;346.429376;346.617453
2018-04-30;346.130000;346.417575;346.350909;346.526262
2018-05-07;345.950000;346.236409;346.140077;346.336458
2018-05-14;345.900000;346.053088;345.964365;346.142064
2018-05-21;345.780000;346.014738;345.934146;346.126939
2018-05-28;345.934286;345.914040;345.858171;346.028285
2018-06-04;346.088571;345.935101;345.864021;346.041643
2018-06-11;345.985714;345.809262;345.741353;345.904079
2018-06-18;345.862857;345.794466;345.719327;345.893782
2018-06-25;345.730000;345.665129;345.587428;345.759641
2018-07-02;345.660000;345.583104;345.486392;345.658899
2018-07-09;345.588571;345.472847;345.384178;345.534566
2018-07-16;345.505714;345.406723;345.317316;345.475916
2018-07-23;345.447143;345.383315;345.242204;345.478094
